Morph-Lemma,Morph-Inflection
a,a
abedul,abedul
abrazar,abrazar
abrumadora,abrumadora
abrumaré,abrumaré
acaba,acaba
acabaré,acabaré
acabaste,acabaste
acabo,acabo
acaso,acaso
accediste,accediste
acertijo,acertijo
acobardarías,acobardarías
acompañes,acompañes
acontecimiento,acontecimiento
acosando,acosando
acostarnos,acostarnos
activo,activo
acuerdo,acuerdo
acurrucarme,acurrucarme
adecuado,adecuado
adecuados,adecuados
adelantó,adelantó
además,además
adolescente,adolescente
adorno,adorno
adrede,adrede
adónde,adónde
aferrarse,aferrarse
